id,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
32116,9127476,1,1,3,1,1,2,1,
32117,9128910,1,1,4,1,1,4,1,
32118,9133617,1,1,2,1,1,1,1,
32119,9134020,1,1,4,1,2,2,1,
32120,9141653,1,1,6,2,3,3,1,
32121,9142639,7,1,6,2,3,6,1,
32122,9151112,1,1,4,1,1,2,1,
32123,9153364,1,2,2,1,1,1,1,
32124,9158178,1,1,4,1,1,2,1,
32125,9162754,1,1,6,3,3,4,1,
32126,9182042,1,1,6,1,2,2,1,
32127,9194127,1,1,15,3,3,10,1,
32128,9198240,1,1,4,1,2,3,1,
32129,9204879,4,1,2,1,1,1,1,
32130,9205295,1,1,2,1,0,1,1,
32131,9206552,3,1,3,1,1,2,1,
32132,9206737,1,2,2,1,1,1,1,
32133,9209376,1,1,3,1,0,2,1,
32134,9210409,2,2,1,2,1,1,1,
32135,9210597,3,1,4,1,0,0,1,
32136,9212192,1,1,2,1,1,2,1,
32137,9213885,1,1,4,1,3,3,1,
32138,9214640,3,1,5,1,2,3,1,
32139,9215075,1,1,8,1,3,4,1,
32140,9215638,1,1,3,1,0,2,1,
32141,9216835,1,2,1,1,1,1,1,
32142,9224648,1,1,4,1,0,2,1,
32143,9226451,7,1,4,1,2,3,1,
32144,9234445,1,1,4,1,1,2,1,
32145,9236168,1,2,1,1,1,1,1,
32146,9237168,1,2,2,1,1,1,1,
32147,9255298,1,1,3,1,0,2,3,
32148,9262393,1,1,5,1,2,3,1,
32149,9263387,1,1,4,1,1,2,1,
32150,9266302,1,2,1,1,1,1,1,
32151,9268644,1,1,6,3,3,3,1,
32152,9268665,1,1,2,1,1,1,1,
32153,9269457,1,1,4,1,2,3,1,
32154,9272704,1,1,6,2,3,5,1,
32155,9274383,1,1,4,1,2,2,1,
32156,9275198,1,1,5,1,2,3,1,
32157,9285669,4,2,2,1,1,1,1,
32158,9287192,1,2,2,1,1,1,1,
32159,9288847,5,1,6,3,3,4,1,
32160,9290081,1,1,6,2,3,5,1,
32161,9290405,1,1,2,1,1,1,1,
32162,9291794,1,1,4,1,2,2,1,
32163,9292715,1,1,4,2,2,3,1,
32164,9293579,1,1,4,2,2,3,1,
32165,9293663,1,1,6,2,3,4,1,
32166,9294088,1,1,4,1,1,3,1,
32167,9296334,1,2,1,1,1,1,1,
32168,9298370,1,1,2,1,1,2,1,
32169,9299416,1,1,3,1,0,2,1,
32170,9300301,1,1,4,1,2,3,1,
32171,9300343,1,2,2,1,1,1,1,
32172,9304769,1,1,3,1,0,2,1,
32173,9306092,1,1,4,1,1,2,1,
32174,9310534,1,1,4,1,1,2,1,
32175,9311615,1,1,2,1,1,1,1,
32176,9318024,1,1,3,1,0,2,1,
32177,9322148,1,1,4,1,1,3,1,
32178,9324140,1,1,3,1,1,2,1,
32179,9325230,7,2,1,1,1,1,1,
32180,9334804,1,1,4,1,1,2,1,
32181,9360828,1,1,4,2,1,2,3,
32182,9363775,3,1,2,1,0,1,3,
