id,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1569123,f,3,f,f
1577728,f,2,f,f
1579898,f,2,f,f
1580396,f,2,f,f
1580437,f,2,f,f
1580504,f,2,f,f
11660315,f,2,f,f
1580522,f,2,f,f
1580624,f,2,f,f
1583837,f,2,f,f
1587109,f,2,f,f
1587758,f,2,f,f
1594966,f,1,f,f
1595915,f,2,f,f
1596016,f,2,f,f
1596037,f,2,f,f
1599940,f,2,f,f
1604347,f,2,f,f
1604559,f,2,f,f
1608257,f,3,t,t
1610855,f,2,f,f
1612980,f,3,f,f
1613942,f,2,f,f
1614109,f,3,f,f
1616281,f,2,f,f
1618509,f,3,f,f
1620515,f,2,f,f
1622813,f,3,f,f
1624014,f,3,f,f
1630947,f,3,f,f
1634741,f,2,f,f
1635995,f,3,t,f
1642382,f,3,f,f
1647351,f,2,f,f
1647942,f,3,f,f
1648294,f,3,f,f
1653089,f,2,f,f
1653837,f,3,f,f
1656097,f,2,f,f
1659522,f,3,f,f
1661060,f,2,f,f
1664492,f,2,f,f
1668667,f,3,f,f
1670235,f,2,f,f
1670427,f,3,f,f
1671481,f,3,f,f
